vid1_path,vid1_start_priming_1,vid1_end_priming_1,vid1_start_priming_2,vid1_end_priming_2,vid1_label,vid2_path,vid2_start_priming_1,vid2_end_priming_1,vid2_start_priming_2,vid2_end_priming_2,vid2_label
continuity/center__continuity__darkbluecup__blueclover__vv__LR.mp4,150,164,315,329,possible,continuity/center__continuity__darkbluecup__blueclover__vi__LR.mp4,150,164,315,329,impossible
continuity/center__continuity__darkbluecup__blueclover__vv__RL.mp4,150,164,315,329,possible,continuity/center__continuity__darkbluecup__blueclover__vi__RL.mp4,150,164,315,329,impossible
continuity/center__continuity__darkbluecup__blueclover__ii__LR.mp4,150,164,315,329,possible,continuity/center__continuity__darkbluecup__blueclover__iv__LR.mp4,150,164,315,329,impossible
continuity/center__continuity__darkbluecup__blueclover__ii__RL.mp4,150,164,315,329,possible,continuity/center__continuity__darkbluecup__blueclover__iv__RL.mp4,150,164,315,329,impossible
continuity/center__continuity__darkbluecup__blueoval__vv__LR.mp4,150,164,315,329,possible,continuity/center__continuity__darkbluecup__blueoval__vi__LR.mp4,150,164,315,329,impossible
continuity/center__continuity__darkbluecup__blueoval__vv__RL.mp4,150,164,315,329,possible,continuity/center__continuity__darkbluecup__blueoval__vi__RL.mp4,150,164,315,329,impossible
continuity/center__continuity__darkbluecup__blueoval__ii__LR.mp4,150,164,315,329,possible,continuity/center__continuity__darkbluecup__blueoval__iv__LR.mp4,150,164,315,329,impossible
continuity/center__continuity__darkbluecup__blueoval__ii__RL.mp4,150,164,315,329,possible,continuity/center__continuity__darkbluecup__blueoval__iv__RL.mp4,150,164,315,329,impossible
continuity/center__continuity__darkbluecup__bluestar__vv__LR.mp4,150,164,315,329,possible,continuity/center__continuity__darkbluecup__bluestar__vi__LR.mp4,150,164,315,329,impossible
continuity/center__continuity__darkbluecup__bluestar__vv__RL.mp4,150,164,315,329,possible,continuity/center__continuity__darkbluecup__bluestar__vi__RL.mp4,150,164,315,329,impossible
