vid1_path,vid1_start_priming_1,vid1_end_priming_1,vid1_start_priming_2,vid1_end_priming_2,vid1_label,vid2_path,vid2_start_priming_1,vid2_end_priming_1,vid2_start_priming_2,vid2_end_priming_2,vid2_label
gravity/center__gravity__bigbluecup__blackcrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__blackcrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__blackcrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__blackcrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__blueball__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__blueball__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__blueball__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__blueball__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__blueclover__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__blueclover__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__blueclover__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__blueclover__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__bluecrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__bluecrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__bluecrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__bluecrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__blueoval__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__blueoval__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__blueoval__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__blueoval__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__bluestar__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__bluestar__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__bluestar__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__bluestar__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__browncrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__browncrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__browncrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__browncrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__egg__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__egg__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__egg__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__egg__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__greencrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__greencrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__greencrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__greencrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__orangecrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__orangecrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__orangecrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__orangecrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__purplecrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__purplecrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__purplecrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__purplecrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__redball__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__redball__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__redball__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__redball__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__redcrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__redcrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__redcrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__redcrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__watch__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__watch__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__watch__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__watch__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__yellowball__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__yellowball__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__yellowball__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__yellowball__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigbluecup__yellowcrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__bigbluecup__yellowcrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__bigbluecup__yellowcrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__bigbluecup__yellowcrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__bigtealcup__blackcrayon__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__blackcrayon__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__blackcrayon__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__blackcrayon__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__bigtealcup__blueball__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__blueball__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__blueball__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__blueball__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__bigtealcup__bluecrayon__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__bluecrayon__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__bluecrayon__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__bluecrayon__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__bigtealcup__browncrayon__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__browncrayon__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__browncrayon__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__browncrayon__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__bigtealcup__egg__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__egg__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__egg__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__egg__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__bigtealcup__greencrayon__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__greencrayon__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__greencrayon__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__greencrayon__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__bigtealcup__orangecrayon__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__orangecrayon__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__orangecrayon__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__orangecrayon__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__bigtealcup__purplecrayon__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__purplecrayon__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__purplecrayon__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__purplecrayon__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__bigtealcup__redcrayon__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__redcrayon__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__redcrayon__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__redcrayon__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__bigtealcup__watch__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__watch__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__watch__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__watch__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__bigtealcup__yellowball__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__yellowball__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__yellowball__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__yellowball__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__bigtealcup__yellowcrayon__ui.mp4,0,0,145,159,possible,gravity/center__gravity__bigtealcup__yellowcrayon__uv.mp4,0,0,145,159,impossible
gravity/center__gravity__bigtealcup__yellowcrayon__cv.mp4,0,0,150,164,possible,gravity/center__gravity__bigtealcup__yellowcrayon__ci.mp4,0,0,150,164,impossible
gravity/center__gravity__blackbowl__blackcrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__blackbowl__blackcrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__blackbowl__blackcrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__blackbowl__blackcrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__blackbowl__blueball__ui.mp4,0,0,150,164,possible,gravity/center__gravity__blackbowl__blueball__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__blackbowl__blueball__cv.mp4,0,0,160,174,possible,gravity/center__gravity__blackbowl__blueball__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__blackbowl__blueclover__ui.mp4,0,0,150,164,possible,gravity/center__gravity__blackbowl__blueclover__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__blackbowl__blueclover__cv.mp4,0,0,160,174,possible,gravity/center__gravity__blackbowl__blueclover__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__blackbowl__bluecrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__blackbowl__bluecrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__blackbowl__bluecrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__blackbowl__bluecrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__blackbowl__browncrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__blackbowl__browncrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__blackbowl__browncrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__blackbowl__browncrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__blackbowl__duck__ui.mp4,0,0,150,164,possible,gravity/center__gravity__blackbowl__duck__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__blackbowl__duck__cv.mp4,0,0,160,174,possible,gravity/center__gravity__blackbowl__duck__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__blackbowl__egg__ui.mp4,0,0,150,164,possible,gravity/center__gravity__blackbowl__egg__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__blackbowl__egg__cv.mp4,0,0,160,174,possible,gravity/center__gravity__blackbowl__egg__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__blackbowl__greencrayon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__blackbowl__greencrayon__uv.mp4,0,0,150,164,impossible
gravity/center__gravity__blackbowl__greencrayon__cv.mp4,0,0,160,174,possible,gravity/center__gravity__blackbowl__greencrayon__ci.mp4,0,0,160,174,impossible
gravity/center__gravity__blackbowl__greenoctagon__ui.mp4,0,0,150,164,possible,gravity/center__gravity__blackbowl__greenoctagon__uv.mp4,0,0,150,164,impossible
